,Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma",Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Bachelor's degree or higher,Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over,Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!High school graduate (includes equivalency),Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Some college or associate's degree,Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years,Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Less than high school graduate,Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years,Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years!!High school graduate or higher,Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years!!Bachelor's degree or higher,Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years,Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher,Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree,Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree",Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over!!Bachelor's degree or higher,Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over,Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over!!High school graduate or higher,Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years!!High school graduate or higher,Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years!!Bachelor's degree or higher,Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years!!Bachelor's degree or higher,Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years,Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years!!High school graduate or higher,Estimate!!Percent Female!!Civilian employed population 16 years and over,Estimate!!Percent Male!!Civilian employed population 16 years and over,Estimate!!Percent Distribution!!HOUSEHOLD INCOME!!All households,Estimate!!Mean income (dollars)!!HOUSEHOLD INCOME!!All households,Estimate!!Number!!HOUSEHOLD INCOME!!All households,NAME,metropolitan statistical area/micropolitan statistical area,metro area
0,3.6,4.4,2.8,-888888888,41.4,30.2,-888888888,25.6,36.8,-888888888,94.8,15.8,19.4,-888888888,7.9,92.1,11.9,11.5,23.9,20.6,-888888888,90.2,91.5,19.3,21.0,-888888888,94.3,49.7,50.3,29920,77948,29920,"Aberdeen, WA Micro Area",10140,False
1,3.6,6.5,9.5,-888888888,41.0,40.6,-888888888,8.8,32.1,-888888888,91.5,21.4,24.1,-888888888,7.8,89.9,8.1,16.3,25.7,24.6,-888888888,88.3,90.8,24.7,25.4,-888888888,88.7,50.6,49.4,61750,71517,61750,"Abilene, TX Metro Area",10180,True
2,2.5,7.3,4.0,-888888888,43.3,37.8,-888888888,14.9,35.4,-888888888,90.3,14.8,21.3,-888888888,7.6,90.2,10.4,13.7,23.2,22.4,-888888888,90.5,91.1,21.0,25.9,-888888888,87.7,45.5,54.5,38499,69443,38499,"Adrian, MI Micro Area",10300,False
3,20.0,9.1,12.1,-888888888,22.5,56.8,-888888888,8.6,29.0,-888888888,89.5,27.5,22.5,-888888888,5.5,70.9,9.5,16.9,9.9,13.5,-888888888,47.0,76.8,22.9,32.3,-888888888,81.8,43.5,56.5,101568,25781,101568,"Aguadilla-Isabela, PR Metro Area",10380,True
4,2.3,5.4,11.7,-888888888,29.8,49.4,-888888888,9.1,32.2,-888888888,93.8,33.5,31.8,-888888888,11.7,92.4,7.7,20.1,20.7,27.9,-888888888,90.8,92.4,31.1,37.5,-888888888,93.2,48.4,51.6,285647,80800,285647,"Akron, OH Metro Area",10420,True
5,8.4,6.7,6.1,-888888888,38.0,39.9,-888888888,16.0,32.3,-888888888,90.3,8.9,14.2,-888888888,5.7,84.9,8.9,8.6,29.5,15.6,-888888888,85.2,85.8,16.7,13.5,-888888888,77.2,-999999999.0,-999999999.0,24133,54602,24133,"Alamogordo, NM Micro Area",10460,False
6,3.4,13.8,6.8,-888888888,46.2,28.0,-888888888,19.0,29.2,-888888888,90.9,21.5,19.7,-888888888,10.0,82.8,10.1,9.6,23.8,19.8,-888888888,76.4,83.1,19.9,17.6,-888888888,83.5,52.6,47.4,54128,57777,54128,"Albany, GA Metro Area",10500,True
7,3.3,9.0,6.3,-888888888,31.0,45.9,-888888888,16.8,26.7,-888888888,89.3,28.1,18.8,-888888888,6.6,87.7,9.5,12.2,32.6,20.0,-888888888,86.0,89.4,14.4,15.7,-888888888,85.2,45.6,54.4,49407,74582,49407,"Albany-Lebanon, OR Metro Area",10540,True
8,2.2,5.3,17.3,-888888888,35.0,41.1,-888888888,6.5,25.3,-888888888,93.9,43.6,39.5,-888888888,17.6,92.5,12.2,21.9,15.5,31.8,-888888888,90.9,92.8,38.3,49.2,-888888888,92.6,49.1,50.9,362502,92433,362502,"Albany-Schenectady-Troy, NY Metro Area",10580,True
9,6.8,11.1,5.2,-888888888,38.5,35.5,-888888888,20.7,32.8,-888888888,78.9,21.1,20.1,-888888888,5.1,82.1,9.0,15.0,20.2,17.8,-888888888,82.7,83.8,22.2,17.8,-888888888,80.9,43.8,56.2,35330,63823,35330,"Albertville, AL Micro Area",10700,False
