# Days with AQI,Good,Moderate,Unhealthy for Sensitive Groups,Unhealthy,Very Unhealthy,AQI Maximum,AQI 90th Percentile,AQI Median,# Days CO,# Days NO2,# Days O3,# Days SO2,# Days PM2.5,# Days PM10,year,cbsa_code
303,252,48,2,1,.,151,57.0,23.0,107,.,.,.,96,100,2005,11260
225,188,34,2,1,.,153,69.0,23.0,134,.,.,.,91,.,2005,21820
115,99,14,2,.,.,125,57.0,20.0,.,.,.,.,110,5,2005,27940
116,53,62,1,.,.,107,75.0,52.0,.,.,.,.,111,5,2005,10500
244,175,65,4,.,.,140,80.0,42.0,.,.,244,.,.,.,2005,11140
364,146,201,15,2,.,161,90.0,54.0,.,.,102,.,262,.,2005,12020
365,69,225,54,15,2,209,129.0,68.0,.,9,121,33,202,.,2005,12060
365,130,204,29,2,.,156,97.0,57.0,.,.,115,.,249,1,2005,12260
333,253,79,1,.,.,127,62.0,39.0,.,.,182,56,95,.,2005,15260
288,126,134,26,2,.,185,100.0,54.0,.,.,189,.,98,1,2005,16860
365,150,200,14,1,.,156,88.0,55.0,.,.,88,3,273,1,2005,17980
277,179,79,18,1,.,151,93.0,45.0,.,.,206,.,71,.,2005,19140
59,34,25,.,.,.,96,70.0,41.0,.,.,.,.,59,.,2005,20060
59,35,23,1,.,.,119,68.0,47.0,.,.,.,.,59,.,2005,21640
112,51,59,2,.,.,107,73.0,52.0,.,.,.,.,112,.,2005,23580
363,144,189,28,2,.,177,94.0,55.0,.,.,123,.,240,.,2005,31420
364,240,109,15,.,.,145,75.0,26.0,.,.,.,251,113,.,2005,40660
365,122,225,18,.,.,138,84.0,58.0,.,.,47,92,225,1,2005,42340
261,190,57,14,.,.,150,80.0,43.0,.,.,243,.,.,18,2005,44900
55,31,24,.,.,.,88,70.0,47.0,.,.,.,.,55,.,2005,46660
56,27,29,.,.,.,93,71.0,51.0,.,.,.,.,56,.,2005,47580
365,245,10,33,75,2,206,200.0,5.0,.,.,.,300,65,.,2005,25900
345,330,14,1,.,.,101,38.0,19.0,.,.,.,.,44,301,2005,27980
220,220,.,.,.,.,28,22.0,13.0,.,.,.,.,.,220,2005,28180
365,351,11,2,1,.,168,38.0,25.0,1,9,175,28,88,64,2005,46520
26,24,2,.,.,.,62,47.0,19.0,.,.,.,.,.,26,2005,13940
365,181,168,15,1,.,151,84.0,51.0,5,.,138,.,210,12,2005,14260
365,236,128,1,.,.,105,67.0,44.0,.,1,124,.,234,6,2005,17660
330,326,4,.,.,.,78,29.0,20.0,.,.,.,.,330,.,2005,26820
364,313,50,1,.,.,106,54.0,43.5,10,.,330,.,21,3,2005,27220
336,320,16,.,.,.,67,39.0,20.0,.,.,.,.,305,31,2005,30300
365,221,106,23,15,.,167,105.0,47.0,.,74,143,.,144,4,2005,30860
353,348,5,.,.,.,71,31.0,15.0,.,.,.,.,353,.,2005,34140
152,104,48,.,.,.,84,67.0,47.0,.,.,152,.,.,.,2005,34300
365,208,150,5,2,.,165,74.0,47.0,.,.,.,99,252,14,2005,38540
339,327,12,.,.,.,62,30.0,14.0,.,.,.,.,.,339,2005,41760
326,292,32,2,.,.,114,52.0,27.0,.,.,.,.,326,.,2005,46300
364,263,86,15,.,.,140,84.0,39.0,.,.,331,.,33,.,2005,14010
57,56,1,.,.,.,51,33.0,22.0,.,.,.,.,.,57,2005,16060
365,241,102,22,.,.,143,87.0,43.0,.,.,290,.,75,.,2005,16580
365,40,231,68,24,2,208,130.0,77.0,.,45,77,77,157,9,2005,16980
365,122,214,29,.,.,140,93.0,58.0,.,.,111,4,157,93,2005,19340
365,245,101,19,.,.,136,87.0,43.0,.,.,262,63,40,.,2005,19500
215,141,67,7,.,.,119,84.0,44.0,.,.,215,.,.,.,2005,20820
120,118,2,.,.,.,52,32.0,19.0,.,.,.,.,.,120,2005,22800
216,123,82,11,.,.,136,93.0,47.5,.,.,196,.,20,.,2005,34500
365,297,66,2,.,.,130,58.0,28.0,.,.,.,.,105,260,2005,36860
365,210,128,26,1,.,154,91.0,46.0,.,29,178,63,80,15,2005,37140
365,161,159,41,4,.,173,105.0,54.0,11,.,157,143,54,.,2005,37900
365,261,89,15,.,.,122,87.0,41.0,.,.,311,23,31,.,2005,39500
365,278,77,10,.,.,135,76.0,35.0,14,.,315,.,36,.,2005,40420
365,17,179,120,47,2,205,159.0,97.0,.,4,84,161,79,37,2005,41180
365,236,104,25,.,.,126,93.0,43.0,3,.,272,56,34,.,2005,44100
183,90,70,23,.,.,147,108.0,51.0,.,.,183,.,.,.,2005,14020
365,40,231,68,24,2,208,130.0,77.0,.,45,77,77,157,9,2005,16980
365,98,157,88,19,3,208,139.0,73.0,.,28,112,165,60,.,2005,17140
241,100,115,21,5,.,172,101.0,56.0,.,.,163,.,78,.,2005,21140
365,72,195,93,5,.,177,124.0,71.0,.,.,68,157,140,.,2005,21780
365,165,163,32,5,.,164,101.0,53.0,6,.,102,.,256,1,2005,23060
171,95,60,16,.,.,140,97.0,48.0,.,.,171,.,.,.,2005,26540
365,65,207,85,8,.,182,126.0,72.0,.,9,86,104,165,1,2005,26900
365,225,112,25,3,.,161,89.0,30.0,.,.,.,271,94,.,2005,27540
111,43,65,3,.,.,121,86.0,54.0,.,.,.,.,111,.,2005,29020
305,136,149,19,1,.,154,91.0,54.0,.,.,94,.,211,.,2005,29200
365,58,202,96,9,.,189,133.0,72.0,.,2,86,124,153,.,2005,31140
178,164,11,3,.,.,109,49.0,20.0,.,.,.,178,.,.,2005,31500
365,235,102,24,4,.,179,97.0,39.0,.,.,157,124,84,.,2005,33140
216,93,99,21,3,.,182,103.0,54.5,.,.,132,.,84,.,2005,34620
111,47,58,5,1,.,155,87.0,53.0,.,.,.,.,111,.,2005,35220
365,252,92,21,.,.,134,86.0,27.0,.,.,.,365,.,.,2005,39980
183,91,69,23,.,.,150,108.0,51.0,.,.,183,.,.,.,2005,42980
333,180,114,33,6,.,177,105.0,47.0,.,94,165,.,74,.,2005,43780
365,187,133,44,1,.,187,105.0,50.0,.,.,118,180,67,.,2005,45460
351,237,92,22,.,.,140,84.0,44.0,.,.,271,.,80,.,2005,47180
358,274,67,17,.,.,126,84.0,36.5,.,.,358,.,.,.,2005,47340
355,284,54,17,.,.,115,75.0,19.0,.,.,.,355,.,.,2005,47780
214,189,24,1,.,.,105,51.0,37.0,.,.,214,.,.,.,2005,11180
365,149,171,45,.,.,133,105.0,56.0,.,.,92,117,156,.,2005,16300
365,254,91,19,1,.,154,80.0,38.0,.,.,176,59,75,55,2005,17540
365,122,214,29,.,.,140,93.0,58.0,.,.,111,4,157,93,2005,19340
365,220,132,13,.,.,134,80.0,46.0,.,31,138,.,189,7,2005,19780
120,118,2,.,.,.,52,32.0,19.0,.,.,.,.,.,120,2005,22800
122,68,49,5,.,.,131,74.0,45.5,.,.,.,.,122,.,2005,26980
365,307,56,2,.,.,105,55.0,29.0,.,.,.,4,.,361,2005,32380
365,215,110,39,1,.,157,103.0,40.0,.,.,.,211,77,77,2005,34700
365,125,210,30,.,.,147,97.0,56.0,.,.,96,30,168,71,2005,36540
124,84,39,1,.,.,130,67.0,37.0,.,.,.,.,116,8,2005,43580
253,170,78,5,.,.,145,76.0,44.0,.,.,175,.,75,3,2005,47940
365,355,9,1,.,.,136,32.0,15.0,.,.,.,37,.,328,2005,17700
61,60,1,.,.,.,51,27.0,15.0,.,.,.,.,.,61,2005,19980
116,87,29,.,.,.,96,62.0,30.5,.,.,.,.,116,.,2005,21380
365,87,202,59,16,1,210,127.0,65.0,1,17,140,69,137,1,2005,28140
359,285,64,9,1,.,156,74.0,37.0,.,.,359,.,.,.,2005,29940
363,263,82,17,1,.,154,80.0,41.0,.,.,363,.,.,.,2005,31740
121,61,58,2,.,.,107,73.0,50.0,.,.,.,.,103,18,2005,41140
121,76,44,1,.,.,112,68.0,42.0,.,.,.,.,119,2,2005,45820
365,230,118,17,.,.,147,87.0,45.0,3,40,247,1,55,19,2005,48620
365,218,123,24,.,.,140,93.0,46.0,.,19,252,7,86,1,2005,14540
365,98,157,88,19,3,208,139.0,73.0,.,28,112,165,60,.,2005,17140
365,196,134,34,1,.,153,100.0,49.0,.,.,245,49,71,.,2005,17300
285,153,106,26,.,.,143,97.0,49.0,.,.,196,.,86,3,2005,21060
365,72,195,93,5,.,177,124.0,71.0,.,.,68,157,140,.,2005,21780
118,62,52,4,.,.,134,79.0,48.5,.,.,.,.,118,.,2005,23180
365,143,186,34,2,.,173,100.0,57.0,.,26,135,114,89,1,2005,26580
365,206,133,25,1,.,162,93.0,47.0,.,62,165,46,92,.,2005,30460
71,30,39,1,1,.,152,80.0,54.0,.,.,.,.,68,3,2005,30940
365,58,202,96,9,.,189,133.0,72.0,.,2,86,124,153,.,2005,31140
234,133,90,11,.,.,136,81.0,48.0,.,.,189,.,45,.,2005,33180
364,189,133,40,2,.,154,105.0,49.0,.,21,179,74,76,14,2005,36980
365,210,128,26,1,.,154,91.0,46.0,.,29,178,63,80,15,2005,37140
124,57,66,1,.,.,118,78.0,52.0,.,.,.,.,115,9,2005,40080
263,176,76,11,.,.,126,84.0,44.0,.,.,243,.,.,20,2005,43700
262,184,74,4,.,.,119,74.0,43.0,.,.,185,.,77,.,2005,10780
365,70,178,95,21,1,201,136.0,71.0,.,6,139,95,123,2,2005,12940
364,299,59,6,.,.,122,64.0,39.5,.,.,364,.,.,.,2005,19760
116,56,58,2,.,.,119,78.0,51.5,.,.,.,.,116,.,2005,25220
362,193,145,23,1,.,154,93.0,49.0,.,.,168,.,194,.,2005,26380
308,192,98,16,2,.,159,93.0,44.0,.,.,237,.,71,.,2005,29180
348,155,168,22,3,.,164,91.0,53.0,.,4,140,16,188,.,2005,29340
364,230,106,27,1,.,154,97.0,44.0,.,.,293,5,66,.,2005,33740
358,270,70,18,.,.,136,87.0,39.0,.,.,358,.,.,.,2005,34020
284,162,112,10,.,.,126,90.0,48.0,.,.,201,.,83,.,2005,35020
