cbsa,Education_Total,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree,Graduate or professional degree,Income_Total,"$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more",Occupation_Total,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate, and rental and leasing","Professional, scientific, and management, and administrative, and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,"Management, business, science, and arts occupations",Service occupations,Sales and office occupations,"Natural resources, construction, and maintenance occupations","Production, transportation, and material moving occupations",year,metropolitan_area,city,state
42020,157954,17931,36200,56453,30748,16622,101996,5381,7850,12736,11474,7147,4874,3870,2777,113211,3883,10115,7605,1875,14264,4116,3117,6070,9230,24347,14527,6210,7852,39177,24745,28169,1572,19548.0,2005,True,San Luis Obispo-Paso Robles,CA
42060,239688,44202,49602,69225,47712,28947,137727,5981,10413,13843,19635,10186,6546,5995,8589,178441,10821,15076,17428,6306,17120,5583,4382,11673,19975,39119,15638,9643,5677,63183,28227,43358,7752,35921.0,2005,True,Santa Barbara-Santa Maria,CA
42100,157908,20632,25337,51476,36968,23495,93076,4450,8162,8153,12587,8916,4373,6065,5814,127415,5507,12856,11887,4227,13128,2783,1972,6530,14561,32144,10887,6687,4246,50288,20807,31218,2898,22204.0,2005,True,Santa Cruz-Watsonville,CA
42220,303625,42201,66246,101301,59744,34133,177212,6001,17420,20539,23954,16185,8942,8811,7617,221625,4514,20566,25447,6163,24847,8978,4722,17360,24070,43677,22354,10372,8555,84157,39171,50601,2595,45101.0,2005,True,Santa Rosa-Petaluma,CA
42260,490131,61799,152568,139702,85880,50182,298258,14950,26404,30733,29997,18918,9511,7979,9015,285089,2622,32668,20904,9273,40396,10227,5417,24919,28264,56433,30849,14810,8307,84663,53202,82979,2311,61934.0,2005,True,Sarasota-Bradenton-Venice,FL
42340,194496,26922,60291,55063,34379,17841,119279,6282,11814,12803,13444,7147,2872,4011,2858,143145,877,11968,13617,4951,16388,12937,2029,8544,11255,31071,13266,8123,8119,45127,23296,37960,382,36380.0,2005,True,Savannah,GA
42540,374490,52721,154661,88969,52114,26025,228139,11443,18524,23961,21638,10834,3599,3984,3005,239886,1094,14431,32790,10192,32476,13427,6667,16176,16985,54088,19114,10252,12194,69217,42059,68878,532,59200.0,2005,True,Scranton--Wilkes-Barre,PA
42660,2120990,199822,482096,679194,499369,260509,1280591,59463,104928,143022,169617,111260,60118,61415,47871,1593230,9110,113211,188633,62744,186652,84515,59855,119663,197108,295535,131909,76143,68152,631397,238245,408788,4726,310074.0,2005,True,Seattle-Tacoma-Bellevue,WA
43100,74969,8608,29237,21317,10865,4942,45216,2615,4576,6117,6186,3383,1356,748,731,59641,1298,2946,20951,2348,6204,1421,539,2691,3840,9644,4352,1925,1482,16653,9125,13750,387,19726.0,2005,True,Sheboygan,WI
43300,76572,12589,24330,25527,10210,3916,43113,1831,3401,4756,5945,1828,529,572,750,52347,1592,5272,8041,1554,7464,1902,926,2876,4407,11263,3129,2611,1310,17390,7612,14373,122,12850.0,2005,True,Sherman-Denison,TX
