,state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
0,01,073,0023,44201,1,33.553056,-86.815,WGS84,Ozone,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2010,Parts per million,No Events,8671,100.0,Y,244,245,0,89,0.0,0.0,Uncertified (past due),0.054037,0.013593,0.088,2010-08-03 11:00,0.084,2010-05-06 16:00,0.084,2010-08-02 11:00,0.084,2010-08-10 11:00,,,,,0.084,0.084,0.078,0.071,0.063,0.055,0.041,North Birmingham,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,13820,"Birmingham-Hoover, AL",2020-05-21
1,01,073,0023,44201,1,33.553056,-86.815,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2010,Parts per million,No Events,8665,99.0,Y,242,245,0,0,0.0,0.0,Uncertified (past due),0.04707,0.012147,0.076,2010-09-20 10:00,0.075,2010-05-06 10:00,0.071,2010-10-10 09:00,0.07,2010-04-16 09:00,,,,,0.071,0.069,0.066,0.063,0.056,0.048,0.036,North Birmingham,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,13820,"Birmingham-Hoover, AL",2020-05-21
2,01,073,0023,44201,1,33.553056,-86.815,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2010,Parts per million,No Events,8665,99.0,Y,242,245,0,0,1.0,1.0,Uncertified (past due),0.04707,0.012147,0.076,2010-09-20 10:00,0.075,2010-05-06 10:00,0.071,2010-10-10 09:00,0.07,2010-04-16 09:00,,,,,0.071,0.069,0.066,0.063,0.056,0.048,0.036,North Birmingham,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,13820,"Birmingham-Hoover, AL",2020-05-21
3,01,073,0023,44201,1,33.553056,-86.815,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2010,Parts per million,No Events,6179,100.0,Y,244,245,0,0,3.0,3.0,Uncertified (past due),0.046947,0.01219,0.076,2010-09-20 10:00,0.075,2010-05-06 10:00,0.071,2010-10-10 09:00,0.07,2010-04-16 09:00,,,,,0.071,0.069,0.066,0.063,0.056,0.048,0.035,North Birmingham,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,13820,"Birmingham-Hoover, AL",2020-05-21
4,01,073,0023,88502,1,33.553056,-86.815,WGS84,Acceptable PM2.5 AQI & Speciation Mass,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2010,Micrograms/cubic meter (LC),No Events,115,94.0,Y,115,122,0,7,,,Certification not required,12.852174,6.02897,31.3,2010-09-20 00:00,30.0,2010-04-14 00:00,29.8,2010-10-08 00:00,28.8,2010-10-11 00:00,,,,,30.0,29.8,25.7,21.5,15.9,12.1,6.0,North Birmingham,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,13820,"Birmingham-Hoover, AL",2020-05-21
5,01,073,0023,88502,3,33.553056,-86.815,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,PM2.5 SCC w/No Correction Factor - TEOM Gravimetric 50 deg C,2010,Micrograms/cubic meter (LC),No Events,8622,98.0,Y,360,365,0,138,,,Certification not required,14.156808,9.136768,86.7,2010-10-07 05:00,85.0,2010-10-07 04:00,83.8,2010-12-03 02:00,80.6,2010-04-14 06:00,,,,,44.5,39.5,31.5,25.8,18.2,12.0,5.4,North Birmingham,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,13820,"Birmingham-Hoover, AL",2020-05-21
6,01,073,0023,88502,3,33.553056,-86.815,WGS84,Acceptable PM2.5 AQI & Speciation Mass,24-HR BLK AVG,,Observed Values,,2010,Micrograms/cubic meter (LC),No Events,360,99.0,Y,360,365,0,0,,,Certification not required,14.110833,6.011305,33.2,2010-03-19 00:00,31.8,2010-09-20 00:00,31.5,2010-04-14 00:00,31.3,2010-04-12 00:00,,,,,31.3,27.9,25.8,23.0,18.1,13.0,7.0,North Birmingham,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,13820,"Birmingham-Hoover, AL",2020-05-21
7,01,073,0023,88502,5,33.553056,-86.815,WGS84,Acceptable PM2.5 AQI & Speciation Mass,24 HOUR,,Observed Values,Met One SASS/SuperSASS Teflon - Gravimetric,2010,Micrograms/cubic meter (LC),No Events,116,95.0,Y,116,122,0,6,,,Certification not required,13.616379,6.983583,31.6,2010-01-14 00:00,31.1,2010-04-14 00:00,31.0,2010-10-08 00:00,28.0,2010-10-11 00:00,,,,,31.1,31.0,27.8,22.9,18.1,13.4,5.2,North Birmingham,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,13820,"Birmingham-Hoover, AL",2020-05-21
8,01,073,0028,42101,1,33.529444,-86.850278,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,2010,Parts per million,No Events,8451,96.0,Y,353,365,0,309,0.0,0.0,Uncertified (past due),0.386132,0.329589,3.0,2010-02-23 20:00,2.5,2010-01-10 21:00,2.4,2010-01-19 06:00,2.3,2010-01-14 20:00,,,,,1.5,1.3,1.0,0.8,0.6,0.3,0.0,,"EAST THOMAS, FINLEY, 841 FINLEY AVE. BP.",Alabama,Jefferson,Birmingham,13820,"Birmingham-Hoover, AL",2020-05-21
9,01,073,0028,42101,1,33.529444,-86.850278,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,2010,Parts per million,No Events,8478,97.0,Y,354,365,0,0,0.0,0.0,Uncertified (past due),0.390623,0.29979,2.1,2010-01-15 01:00,2.1,2010-01-15 02:00,2.1,2010-01-15 03:00,2.0,2010-01-15 00:00,2.1,2010-01-15 01:00,1.9,2010-01-14 09:00,1.4,1.1,0.9,0.8,0.6,0.3,0.0,,"EAST THOMAS, FINLEY, 841 FINLEY AVE. BP.",Alabama,Jefferson,Birmingham,13820,"Birmingham-Hoover, AL",2020-05-21
