"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"10580","Albany-Schenectady-Troy, NY","365","306","50","8","1",".","159","67","35","2",".","319","8","36","."
"15380","Buffalo-Cheektowaga-Niagara Falls, NY","365","227","115","21","2",".","151","88","43",".","75","176","47","67","."
"18500","Corning, NY","365","281","78","6",".",".","115","66","38",".",".","231",".","134","."
"21300","Elmira, NY","365","335","29","1",".",".","115","49","32",".",".","339","26",".","."
"27060","Ithaca, NY","348","308","39","1",".",".","119","53","35",".",".","335",".","13","."
"27460","Jamestown-Dunkirk-Fredonia, NY","365","268","74","22","1",".","151","87","40",".",".","295","35","35","."
"28740","Kingston, NY","365","323","37","5",".",".","129","54","36",".",".","359","6",".","."
"31660","Malone, NY","365","347","15","3",".",".","133","44","19",".",".","181","72",".","112"
"35620","New York-Newark-Jersey City, NY-NJ-PA","365","71","226","47","19","2","226","124","67",".","42","105","45","173","."
"36300","Ogdensburg-Massena, NY","105","91","14",".",".",".","85","55","19",".",".",".",".","105","."
"40380","Rochester, NY","365","296","62","7",".",".","143","61","34","3",".","246","52","64","."
"45060","Syracuse, NY","365","307","53","5",".",".","140","61","36","4",".","333","7","21","."
"46540","Utica-Rome, NY","363","335","26","2",".",".","115","48","34",".",".","350","2","11","."
"48060","Watertown-Fort Drum, NY","229","199","25","5",".",".","122","58","33",".",".","229",".",".","."
