"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"13820","Birmingham-Hoover, AL","366","191","164","10","1",".","151","77","49",".","12","141","1","209","3"
"17980","Columbus, GA-AL","364","264","95","5",".",".","148","61","41",".",".","157",".","207","."
"19300","Daphne-Fairhope-Foley, AL","279","247","32",".",".",".","87","51","37",".",".","219",".","60","."
"19460","Decatur, AL","365","304","59","2",".",".","107","55","40",".",".","203",".","162","."
"20020","Dothan, AL","280","265","15",".",".",".","97","48","35",".",".","213",".","67","."
"22520","Florence-Muscle Shoals, AL","282","258","23","1",".",".","115","50","38",".",".","214",".","68","."
"22840","Fort Payne, AL","348","304","43","1",".",".","119","54","40",".",".","319",".","29","."
"23460","Gadsden, AL","352","162","184","3","3",".","179","67","52",".",".","101",".","251","."
"26620","Huntsville, AL","333","280","52","1",".",".","122","55","40",".",".","233",".","36","64"
"33660","Mobile, AL","366","277","87","2",".",".","139","58","41",".",".","124","9","233","."
"33860","Montgomery, AL","363","285","76","1","1",".","170","58","42",".",".","161",".","202","."
"45180","Talladega-Sylacauga, AL","117","99","18",".",".",".","79","52","35",".",".",".",".","117","."
"46220","Tuscaloosa, AL","365","224","141",".",".",".","100","59","47",".",".","90",".","275","."
