"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"13820","Birmingham-Hoover, AL","365","167","190","7","1",".","156","77","52",".",".","91","43","228","3"
"17980","Columbus, GA-AL","365","271","94",".",".",".","99","61","40",".",".","118",".","247","."
"19300","Daphne-Fairhope-Foley, AL","270","245","25",".",".",".","97","50","35",".",".","211",".","59","."
"19460","Decatur, AL","364","304","60",".",".",".","100","54","37",".",".","172",".","192","."
"20020","Dothan, AL","277","249","28",".",".",".","80","51","35",".",".","210",".","67","."
"22520","Florence-Muscle Shoals, AL","277","251","26",".",".",".","93","50","35",".",".","209",".","68","."
"22840","Fort Payne, AL","350","316","34",".",".",".","84","50","35",".",".","314",".","36","."
"23460","Gadsden, AL","324","231","92",".","1",".","153","61","41",".",".","172",".","152","."
"26620","Huntsville, AL","365","275","89","1",".",".","115","58","41",".",".","123",".","241","1"
"33660","Mobile, AL","365","290","74","1",".",".","105","57","38",".",".","144","13","208","."
"33860","Montgomery, AL","326","150","176",".",".",".","93","66","52",".",".","43",".","283","."
"46220","Tuscaloosa, AL","320","265","54","1",".",".","115","55.5","37",".",".","191",".","129","."
