"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"13980","Blacksburg-Christiansburg-Radford, VA","365","306","55","4",".",".","134","59","41",".",".","296","69",".","."
"16820","Charlottesville, VA","282","264","18",".",".",".","67","48","40",".",".","232",".","50","."
"25500","Harrisonburg, VA","365","349","16",".",".",".","65","48","36",".","92","228",".","45","."
"28700","Kingsport-Bristol-Bristol, TN-VA","365","236","108","21",".",".","121","77","45",".",".","154","127","84","."
"31340","Lynchburg, VA","108","107","1",".",".",".","55","43","26",".",".",".",".","108","."
"40060","Richmond, VA","365","272","93",".",".",".","100","61","44",".","13","241",".","111","."
"40220","Roanoke, VA","365","326","39",".",".",".","71","51","38",".","48","195","10","112","."
"47260","Virginia Beach-Norfolk-Newport News, VA-NC","365","317","48",".",".",".","97","52","40",".","39","225",".","101","."
"47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","365","209","145","10","1",".","157","78","47",".","22","221",".","122","."
"49020","Winchester, VA-WV","365","333","32",".",".",".","96","49","38",".",".","198",".","167","."
