datum,parameter,sample_duration,year,units_of_measure,observation_count,validity_indicator,valid_day_count,null_observation_count,arithmetic_mean,standard_deviation,first_max_value,second_max_value,third_max_value,fourth_max_value,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,cbsa_code
WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,2005,Micrograms/cubic meter (LC),8655,Y,361,0,7.762865,9.171813,121.0,120.9,116.7,110.5,45.4,34.5,23.1,16.5,8.6,4.8,2.3,10540.0
WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,2005,Micrograms/cubic meter (LC),6298,Y,263,29,7.426421,4.866897,51.9,46.5,46.3,32.5,23.1,20.7,17.0,13.8,9.8,6.4,2.4,11100.0
WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,2005,Micrograms/cubic meter (LC),2402,Y,100,13,5.190133,3.030001,25.4,25.4,25.0,24.5,15.9,13.1,10.8,9.1,6.5,4.5,2.2,11100.0
NAD83,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,2005,Micrograms/cubic meter (LC),8452,Y,350,307,12.433057,8.410574,58.0,56.6,53.2,51.0,37.8,33.7,28.2,24.0,17.1,10.9,3.1,11700.0
NAD83,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,2005,Micrograms/cubic meter (LC),8612,Y,360,148,13.614642,9.549862,102.4,99.7,99.6,98.1,44.1,39.9,31.4,25.5,18.3,11.7,3.5,12020.0
NAD83,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,2005,Micrograms/cubic meter (LC),4271,Y,176,145,18.41468,10.816017,76.7,76.6,76.6,75.1,53.7,47.0,39.2,32.6,23.8,16.3,7.2,12060.0
NAD83,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,2005,Micrograms/cubic meter (LC),8584,Y,359,176,14.908912,10.641001,85.1,81.3,80.3,79.3,52.1,45.3,35.3,28.8,19.6,12.3,4.4,12060.0
NAD83,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,2005,Micrograms/cubic meter (LC),8149,Y,339,611,14.284857,9.693951,79.6,72.4,71.0,69.2,45.5,40.2,32.8,27.2,19.4,12.2,4.2,12060.0
NAD83,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,2005,Micrograms/cubic meter (LC),7921,Y,327,839,14.731095,11.599346,138.7,123.7,120.5,107.6,52.2,46.3,35.6,28.8,19.6,12.0,3.7,12060.0
NAD83,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,2005,Micrograms/cubic meter (LC),8621,Y,358,139,14.275745,9.703564,64.0,62.6,61.8,60.7,44.9,40.8,33.1,27.3,19.3,12.3,3.9,12060.0
WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,2005,Micrograms/cubic meter (LC),8668,Y,362,92,14.098085,10.788062,130.1,123.0,115.3,110.6,48.8,43.5,34.7,27.7,18.9,11.6,3.6,12060.0
WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,2005,Micrograms/cubic meter (LC),6703,Y,279,89,14.502133,9.887226,101.8,77.2,71.9,71.5,46.6,41.3,34.3,27.0,19.3,12.2,4.6,12060.0
NAD83,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,2005,Micrograms/cubic meter (LC),8676,Y,364,84,14.63316,10.678196,159.7,154.9,137.3,124.8,48.4,42.2,34.3,28.2,19.5,12.3,4.1,12260.0
NAD83,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,2005,Micrograms/cubic meter (LC),8501,Y,354,164,10.628091,5.776773,39.7,37.1,36.5,36.3,28.4,25.8,21.9,18.7,13.7,9.5,4.3,12420.0
NAD83,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,2005,Micrograms/cubic meter (LC),8546,Y,355,214,9.569377,5.741624,41.6,40.7,40.0,39.2,28.3,24.8,20.7,17.4,12.3,8.4,3.6,12420.0
NAD83,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,2005,Micrograms/cubic meter (LC),8070,Y,334,689,20.411648,18.83131,155.0,147.0,137.0,134.0,94.0,82.0,61.0,44.0,24.0,15.0,5.0,12540.0
NAD83,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,2005,Micrograms/cubic meter (LC),8509,Y,354,251,22.185921,18.941941,169.0,144.0,142.0,136.0,94.0,83.0,65.0,46.0,27.0,17.0,6.0,12540.0
WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,2005,Micrograms/cubic meter (LC),8426,Y,349,0,17.089948,8.782659,61.9,60.1,59.7,59.7,46.0,42.4,35.3,28.8,20.9,15.1,8.3,12580.0
NAD83,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,2005,Micrograms/cubic meter (LC),6549,Y,273,0,14.174714,8.686957,94.5,90.2,85.9,80.0,39.2,36.0,30.9,26.2,18.8,12.6,4.8,12940.0
NAD83,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,2005,Micrograms/cubic meter (LC),8265,Y,335,0,11.814725,8.362416,100.0,93.8,90.5,85.0,38.3,33.8,27.1,22.3,15.6,10.1,3.4,12940.0
NAD83,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,2005,Micrograms/cubic meter (LC),8119,Y,339,0,10.43376,7.057481,98.8,98.5,74.8,65.8,32.5,28.5,23.2,19.3,13.8,9.1,3.1,12940.0
NAD83,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,2005,Micrograms/cubic meter (LC),7577,Y,311,0,13.51333,9.35708,95.3,93.4,93.2,91.0,44.7,38.6,30.8,25.2,17.6,11.6,4.1,12940.0
WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,2005,Micrograms/cubic meter (LC),8256,Y,345,48,11.799855,9.140898,242.3,230.3,179.6,164.1,37.7,32.0,25.5,20.9,14.7,9.9,4.3,13140.0
WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,2005,Micrograms/cubic meter (LC),7429,Y,307,781,13.125185,10.077454,171.7,135.7,124.8,106.4,51.8,39.5,30.7,24.9,16.6,10.6,4.2,13140.0
WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,2005,Micrograms/cubic meter (LC),7531,Y,313,563,13.897889,9.317879,149.6,135.1,124.9,120.0,47.5,39.1,30.3,24.2,17.0,11.8,5.7,13140.0
WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,2005,Micrograms/cubic meter (LC),8057,Y,334,232,11.687601,9.138853,358.2,281.8,87.4,86.5,38.7,33.3,26.6,21.4,14.6,9.8,4.3,13140.0
